iter	Passed	Remaining
0	135	134896
1	135	67784
2	136	45379
3	137	34181
4	137	27449
5	138	22950
6	139	19738
7	139	17331
8	140	15457
9	140	13958
10	141	12740
11	142	11721
12	143	10861
13	143	10123
14	144	9480
15	144	8916
16	145	8419
17	146	7976
18	146	7579
19	147	7225
20	148	6917
21	149	6631
22	149	6368
23	150	6122
24	151	5895
25	151	5685
26	152	5490
27	152	5309
28	153	5141
29	154	4989
30	155	4848
31	155	4714
32	156	4584
33	157	4462
34	157	4346
35	158	4237
36	158	4134
37	159	4036
38	160	3945
39	160	3860
40	161	3779
41	162	3704
42	163	3628
43	163	3555
44	164	3485
45	164	3418
46	165	3353
47	166	3294
48	166	3237
49	167	3183
50	168	3131
51	168	3078
52	169	3028
53	170	2979
54	170	2932
55	171	2887
56	171	2843
57	172	2803
58	173	2766
59	174	2728
60	174	2690
61	175	2653
62	175	2617
63	176	2583
64	177	2550
65	177	2517
66	178	2486
67	178	2452
68	179	2424
69	180	2396
70	180	2368
71	181	2340
72	182	2313
73	182	2287
74	183	2261
75	183	2236
76	184	2212
77	185	2189
78	186	2168
79	186	2146
80	187	2124
81	187	2102
82	188	2081
83	189	2061
84	189	2039
85	190	2019
86	190	1998
87	191	1982
88	191	1964
89	192	1947
90	193	1929
91	193	1912
92	194	1895
93	194	1879
94	195	1862
95	196	1847
96	196	1831
97	197	1816
98	198	1802
99	198	1788
100	199	1774
101	199	1758
102	200	1744
103	200	1730
104	201	1717
105	202	1704
106	202	1691
107	203	1679
108	204	1668
109	204	1657
110	205	1645
111	206	1634
112	206	1622
113	207	1611
114	207	1600
115	208	1588
116	209	1577
117	209	1567
118	210	1556
119	210	1546
120	211	1535
121	211	1525
122	212	1513
123	212	1504
124	213	1494
125	214	1484
126	214	1475
127	215	1465
128	215	1456
129	216	1448
130	217	1440
131	217	1432
132	218	1423
133	219	1416
134	219	1408
135	220	1399
136	220	1391
137	221	1383
138	222	1376
139	222	1369
140	223	1362
141	224	1354
142	224	1347
143	225	1339
144	226	1332
145	226	1325
146	227	1318
147	227	1311
148	228	1304
149	229	1298
150	229	1291
151	230	1285
152	230	1278
153	231	1271
154	232	1265
155	232	1259
156	233	1253
157	234	1247
158	234	1241
159	235	1235
160	235	1229
161	236	1223
162	237	1217
163	237	1211
164	238	1205
165	238	1200
166	239	1194
167	240	1188
168	240	1183
169	241	1178
170	241	1173
171	242	1167
172	243	1162
173	243	1157
174	244	1152
175	245	1147
176	245	1142
177	246	1137
178	246	1132
179	247	1127
180	247	1121
181	248	1117
182	249	1112
183	250	1108
184	250	1104
185	251	1100
186	252	1096
187	252	1092
188	253	1088
189	254	1083
190	254	1079
191	255	1076
192	256	1072
193	257	1068
194	257	1064
195	258	1060
196	259	1056
197	259	1052
198	260	1049
199	261	1045
200	262	1042
201	262	1038
202	263	1034
203	264	1031
204	265	1027
205	265	1024
206	266	1020
207	267	1017
208	267	1013
209	268	1009
210	268	1005
211	269	1003
212	270	1000
213	271	996
214	271	993
215	272	989
216	273	986
217	273	982
218	274	979
219	275	975
220	275	971
221	276	968
222	276	964
223	277	960
224	277	957
225	278	953
226	279	950
227	279	946
228	280	943
229	280	940
230	281	936
231	282	933
232	282	930
233	283	927
234	283	923
235	284	920
236	284	917
237	285	914
238	286	911
239	286	908
240	287	905
241	288	902
242	288	899
243	289	896
244	289	893
245	290	890
246	291	887
247	291	884
248	292	881
249	292	878
250	293	876
251	294	873
252	294	870
253	295	867
254	295	864
255	296	861
256	297	858
257	297	856
258	298	853
259	298	850
260	299	847
261	300	845
262	300	842
263	301	840
264	302	838
265	302	835
266	303	833
267	304	831
268	305	829
269	305	827
270	306	824
271	307	822
272	307	819
273	308	816
274	308	814
275	309	812
276	310	809
277	310	807
278	311	804
279	312	802
280	312	799
281	313	797
282	313	795
283	314	792
284	314	790
285	315	788
286	316	785
287	316	783
288	317	781
289	318	778
290	318	776
291	319	774
292	319	771
293	320	769
294	321	767
295	321	765
296	322	762
297	322	760
298	323	758
299	324	756
300	324	753
301	325	751
302	325	749
303	326	747
304	326	744
305	327	742
306	328	740
307	328	738
308	329	736
309	329	734
310	330	732
311	331	730
312	331	728
313	332	726
314	332	723
315	333	721
316	334	719
317	334	717
318	335	715
319	335	713
320	336	711
321	336	709
322	337	707
323	338	705
324	338	703
325	339	701
326	339	699
327	340	697
328	341	695
329	341	693
330	342	691
331	342	689
332	343	687
333	344	685
334	344	684
335	345	682
336	345	680
337	346	678
338	347	676
339	347	675
340	348	673
341	348	671
342	349	669
343	350	667
344	350	665
345	351	663
346	351	662
347	352	660
348	353	658
349	353	656
350	354	654
351	354	653
352	355	651
353	355	649
354	356	647
355	357	645
356	357	644
357	358	642
358	358	640
359	359	639
360	360	637
361	360	635
362	361	634
363	361	632
364	362	630
365	363	629
366	363	627
367	364	625
368	364	624
369	365	622
370	366	620
371	366	619
372	367	617
373	367	615
374	368	614
375	369	612
376	369	610
377	370	609
378	370	607
379	371	606
380	371	604
381	372	602
382	373	601
383	373	599
384	374	598
385	375	596
386	375	595
387	376	593
388	376	591
389	377	590
390	377	588
391	378	587
392	379	585
393	379	584
394	380	582
395	380	580
396	381	579
397	382	577
398	382	576
399	383	574
400	383	573
401	384	571
402	385	570
403	385	568
404	386	567
405	386	566
406	387	564
407	388	563
408	388	561
409	389	560
410	389	558
411	390	557
412	391	556
413	391	554
414	392	553
415	393	551
416	393	550
417	394	548
418	394	547
419	395	546
420	396	544
421	396	543
422	397	542
423	397	540
424	398	539
425	399	537
426	399	536
427	400	535
428	400	533
429	401	532
430	402	531
431	403	529
432	403	528
433	404	527
434	405	526
435	405	524
436	406	523
437	407	522
438	407	521
439	408	519
440	409	518
441	409	517
442	410	516
443	411	514
444	411	513
445	412	512
446	413	511
447	413	509
448	414	508
449	415	507
450	415	506
451	416	505
452	417	503
453	418	502
454	418	501
455	419	500
456	420	499
457	420	497
458	421	496
459	422	495
460	423	494
461	423	493
462	424	492
463	425	491
464	426	490
465	427	489
466	427	488
467	428	487
468	429	486
469	430	485
470	431	484
471	431	482
472	432	481
473	433	480
474	433	479
475	434	478
476	435	477
477	436	476
478	436	475
479	437	473
480	438	472
481	438	471
482	439	470
483	440	469
484	441	468
485	441	467
486	442	466
487	443	464
488	443	463
489	444	462
490	445	461
491	446	460
492	446	459
493	447	458
494	448	457
495	448	456
496	449	454
497	450	453
498	450	452
499	451	451
500	451	450
501	452	448
502	453	447
503	453	446
504	454	445
505	454	444
506	455	442
507	456	441
508	456	440
509	457	439
510	458	438
511	458	437
512	459	436
513	460	434
514	460	433
515	461	432
516	462	431
517	462	430
518	463	429
519	464	428
520	464	427
521	465	426
522	465	424
523	466	423
524	467	422
525	467	421
526	468	420
527	468	419
528	469	417
529	469	416
530	470	415
531	471	414
532	471	413
533	472	412
534	473	411
535	473	410
536	474	408
537	474	407
538	475	406
539	476	405
540	476	404
541	477	403
542	477	402
543	478	400
544	478	399
545	479	398
546	480	397
547	480	396
548	481	395
549	481	394
550	482	393
551	483	392
552	483	391
553	484	389
554	484	388
555	485	387
556	486	386
557	486	385
558	487	384
559	487	383
560	488	382
561	489	381
562	489	380
563	490	379
564	490	377
565	491	376
566	492	375
567	492	374
568	493	373
569	493	372
570	494	371
571	495	370
572	495	369
573	496	368
574	496	367
575	497	366
576	498	365
577	498	364
578	499	363
579	499	361
580	500	360
581	501	359
582	501	358
583	502	357
584	502	356
585	503	355
586	504	354
587	504	353
588	505	352
589	505	351
590	506	350
591	507	349
592	507	348
593	508	347
594	508	346
595	509	345
596	510	344
597	510	343
598	511	342
599	511	341
600	512	340
601	513	339
602	513	338
603	514	337
604	515	336
605	515	335
606	516	334
607	516	333
608	517	332
609	518	331
610	518	330
611	519	329
612	519	328
613	520	327
614	520	326
615	521	325
616	522	324
617	522	323
618	523	322
619	523	321
620	524	320
621	525	319
622	525	318
623	526	317
624	526	316
625	527	315
626	527	314
627	528	313
628	529	312
629	529	311
630	530	310
631	530	309
632	531	308
633	532	307
634	532	306
635	533	305
636	534	304
637	534	303
638	535	302
639	535	301
640	536	300
641	536	299
642	537	298
643	538	297
644	538	296
645	539	295
646	539	294
647	540	293
648	541	292
649	541	291
650	542	290
651	542	289
652	543	288
653	544	287
654	544	286
655	545	285
656	545	284
657	546	284
658	547	283
659	547	282
660	548	281
661	548	280
662	549	279
663	549	278
664	550	277
665	551	276
666	551	275
667	552	274
668	553	273
669	553	272
670	554	271
671	555	270
672	555	270
673	556	269
674	557	268
675	557	267
676	558	266
677	558	265
678	559	264
679	560	263
680	560	262
681	561	261
682	561	260
683	562	259
684	562	258
685	563	257
686	564	257
687	564	256
688	565	255
689	566	254
690	566	253
691	567	252
692	567	251
693	568	250
694	568	249
695	569	248
696	570	247
697	570	246
698	571	246
699	571	245
700	572	244
701	573	243
702	573	242
703	574	241
704	575	240
705	575	239
706	575	238
707	576	237
708	577	236
709	577	235
710	578	235
711	579	234
712	579	233
713	580	232
714	580	231
715	581	230
716	582	229
717	582	228
718	583	227
